Sheet	Test Case ID	Test Case Description
TAI_023	Test Case Description	Kiểm tra chỉ hiển thị câu hỏi thuộc phòng ban được phép quản lý
TAI_024	Test Case Description	Kiểm tra xử lý status filter chứa SQL injection hoặc giá trị không hợp lệ
TAI_025	Test Case Description	Kiểm tra payload XSS trong tham số question_id trên URL
TAI_026	Test Case Description	Kiểm tra action không hợp lệ trên quản lý câu hỏi
TAI_27	TAI_31	Kiểm tra danh sách phòng ban trên dropdown chỉ hiển thị phòng ban được phân công
DAI_001	DAI_001	General Test - 01:  Mục đặt câu hỏi của người dùng:Tất cả các trường bắt buộc phải được xác thực và đánh dấu bằng dấu sao (*).
DAI_002	DAI_002	General Test - 02:  Mục đặt câu hỏi của người dùng:Các thông báo lỗi (validation) phải được hiển thị rõ ràng và đúng vị trí tương ứng với trường nhập liệu.
DAI_003	DAI_003	General Test - 03: Mục đặt câu hỏi của người dùng: Tất cả các thông báo lỗi nên được hiển thị bằng cùng một kiểu CSS (ví dụ: cùng sử dụng màu đỏ).
DAI_004	DAI_004	General Test - 04: Mục đặt câu hỏi của người dùng:Các thông báo xác nhận thành công phải có định dạng khác với thông báo lỗi (ví dụ: dùng màu xanh lá).
DAI_005	DAI_005	General Test - 05: Mục đặt câu hỏi của người dùng:Nội dung của các ô chú thích (tooltip) phải có ý nghĩa, dễ hiểu và đúng ngữ cảnh.
DAI_006	DAI_006	General Test - 06: Mục đặt câu hỏi của người dùng:Các danh sách chọn (dropdown) nên để giá trị mặc định đầu tiên là để trống hoặc hiển thị văn bản hướng dẫn như "Chọn...".
DAI_007	DAI_007	General Test - 11:Mục đặt câu hỏi của người dùng:"Làm mới" (Reset) phải đưa tất cả các trường dữ liệu về giá trị mặc định ban đầu.
DAI_008	DAI_008	General Test - 14: Mục đặt câu hỏi của người dùng:Kiểm tra việc nhập các ký tự đặc biệt vào tất cả các trường nhập liệu để đảm bảo hệ thống không bị lỗi.
DAI_009	DAI_009	General Test - 15:Mục đặt câu hỏi của người dùng: Nhãn của các trường dữ liệu phải được đặt tên chuẩn (ví dụ: trường nhập tiêu đề thì nhãn phải hiển thị rõ là 'Title'.
DAI_010	DAI_010	General Test - 31:Dữ liệu nhập vào có khoảng trắng ở đầu hoặc cuối chuỗi phải được hệ thống xử lý đúng (thường là tự động cắt bỏ).
DAI_011	DAI_011	GUI-23:Biểu tượng "đang tải" (hourglass/loading) phải hiển thị khi hệ thống đang bận xử lý dữ liệu.
DAI_012	DAI_012	Các đoạn văn bản trên trang phải được canh lề trái theo tiêu chuẩn đọc.
DAI_013	DAI_013	Trong trường hợp các tiêu chí lọc không bắt buộc, người dùng vẫn có thể thực hiện tìm kiếm và hệ thống sẽ trả về kết quả theo tiêu chí mặc định.
DAI_014	DAI_014	Phải hiển thị thông báo lỗi (validation) phù hợp khi người dùng nhập các giá trị không hợp lệ vào các ô điều kiện lọc.
DAI_015	DAI_015	Bảng kết quả phải hiển thị tổng số bản ghi/kết quả tìm được.
DAI_016	DAI_016	Cột đang được sắp xếp phải hiển thị biểu tượng sắp xếp (tăng dần hoặc giảm dần).
DAI_017	DAI_017	Các nút phân trang Next, Previous hoặc mũi tên << , >>  phải hoạt động đúng chức năng.
DAI_018	DAI_018	Khi số lượng kết quả lớn hơn số bản ghi mặc định trên mỗi trang, hệ thống phải hiển thị chức năng phân trang.
DAI_019	DAI_019	Các điều kiện tìm kiếm đã sử dụng phải được hiển thị lại trên màn hình kết quả để người dùng dễ kiểm tra.
DAI_020	DAI_020	Kiểm tra tất cả các tham số tìm kiếm đã nhập có được sử dụng để lấy dữ liệu hiển thị trên bảng kết quả hay không.
DAI_021	DAI_021	Sau khi submit trang thành công, kiểm tra dữ liệu đã được lưu đúng vào database hay chưa.
