Sheet	Test Case Description	Result
TAI_026	Kiểm tra action không hợp lệ trên quản lý câu hỏi	Not Executed
TAI_27	Kiểm tra danh sách phòng ban trên dropdown chỉ hiển thị phòng ban được phân công	Not Executed
DAI_001	General Test - 01:  Mục đặt câu hỏi của người dùng:Tất cả các trường bắt buộc phải được xác thực và đánh dấu bằng dấu sao (*).	Fail
DAI_002	General Test - 02:  Mục đặt câu hỏi của người dùng:Các thông báo lỗi (validation) phải được hiển thị rõ ràng và đúng vị trí tương ứng với trường nhập liệu.	Pass
DAI_003	General Test - 03: Mục đặt câu hỏi của người dùng: Tất cả các thông báo lỗi nên được hiển thị bằng cùng một kiểu CSS (ví dụ: cùng sử dụng màu đỏ).	Pass
DAI_004	General Test - 04: Mục đặt câu hỏi của người dùng:Các thông báo xác nhận thành công phải có định dạng khác với thông báo lỗi (ví dụ: dùng màu xanh lá).	PASS
DAI_005	General Test - 05: Mục đặt câu hỏi của người dùng:Nội dung của các ô chú thích (tooltip) phải có ý nghĩa, dễ hiểu và đúng ngữ cảnh.	FAIL
DAI_006	General Test - 06: Mục đặt câu hỏi của người dùng:Các danh sách chọn (dropdown) nên để giá trị mặc định đầu tiên là để trống hoặc hiển thị văn bản hướng dẫn như "Chọn...".	FAIL
DAI_007	General Test - 11:Mục đặt câu hỏi của người dùng:"Làm mới" (Reset) phải đưa tất cả các trường dữ liệu về giá trị mặc định ban đầu.	PASS
DAI_008	General Test - 14: Mục đặt câu hỏi của người dùng:Kiểm tra việc nhập các ký tự đặc biệt vào tất cả các trường nhập liệu để đảm bảo hệ thống không bị lỗi.	PASS
DAI_009	General Test - 15:Mục đặt câu hỏi của người dùng: Nhãn của các trường dữ liệu phải được đặt tên chuẩn (ví dụ: trường nhập tiêu đề thì nhãn phải hiển thị rõ là 'Title'.	FAIL
DAI_010	General Test - 31:Dữ liệu nhập vào có khoảng trắng ở đầu hoặc cuối chuỗi phải được hệ thống xử lý đúng (thường là tự động cắt bỏ).	PASS
DAI_011	GUI-23:Biểu tượng "đang tải" (hourglass/loading) phải hiển thị khi hệ thống đang bận xử lý dữ liệu.	FAIL
DAI_012	Các đoạn văn bản trên trang phải được canh lề trái theo tiêu chuẩn đọc.	Pass
DAI_013	Trong trường hợp các tiêu chí lọc không bắt buộc, người dùng vẫn có thể thực hiện tìm kiếm và hệ thống sẽ trả về kết quả theo tiêu chí mặc định.	Pass
DAI_014	Phải hiển thị thông báo lỗi (validation) phù hợp khi người dùng nhập các giá trị không hợp lệ vào các ô điều kiện lọc.	Pass
DAI_015	Bảng kết quả phải hiển thị tổng số bản ghi/kết quả tìm được.	FAIL
DAI_016	Cột đang được sắp xếp phải hiển thị biểu tượng sắp xếp (tăng dần hoặc giảm dần).	FAIL
DAI_017	Các nút phân trang Next, Previous hoặc mũi tên << , >>  phải hoạt động đúng chức năng.	Pass
DAI_018	Khi số lượng kết quả lớn hơn số bản ghi mặc định trên mỗi trang, hệ thống phải hiển thị chức năng phân trang.	Pass
DAI_019	Các điều kiện tìm kiếm đã sử dụng phải được hiển thị lại trên màn hình kết quả để người dùng dễ kiểm tra.	Pass
DAI_020	Kiểm tra tất cả các tham số tìm kiếm đã nhập có được sử dụng để lấy dữ liệu hiển thị trên bảng kết quả hay không.	Pass
DAI_021	Sau khi submit trang thành công, kiểm tra dữ liệu đã được lưu đúng vào database hay chưa.	Pass
