Test Case ID	Test Case Description	Created By	Reviewed By	Version	Tester Name	Date Tested	Test Case Status	Prerequisite #	Prerequisite	Test Data #	Test Data	Step #	Step Details	Expected Results	Actual Results	Step Status
LGN_BB_006	Đăng nhập thất bại khi mật khẩu sai	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Tồn tại tài khoản hợp lệ	1	Email: local_user@example.com	1	Nhập email đúng, password sai	Giá trị được nhập	Chưa thực thi	Not Executed
LGN_BB_006	Đăng nhập thất bại khi mật khẩu sai	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	-	2	Password: wrongpass	2	Click Log In	Không đăng nhập, báo lỗi mật khẩu	Chưa thực thi	Not Executed
LGN_BB_007	Không cho đăng nhập password với tài khoản tạo bằng Google	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Tài khoản đã đăng ký qua Google	1	Email tài khoản Google	1	Nhập email tài khoản Google và password	Giá trị được nhập	Chưa thực thi	Not Executed
LGN_BB_007	Không cho đăng nhập password với tài khoản tạo bằng Google	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	-	2	Password bất kỳ	2	Click Log In	Không đăng nhập, yêu cầu đăng nhập Google	Chưa thực thi	Not Executed
LGN_BB_008	Đăng nhập thành công và quay lại URL đích (redirect_uri)	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Có URL yêu cầu đăng nhập trước	1	redirect_uri: /question?action=create	1	Truy cập URL bảo vệ khi chưa login	Bị chuyển về /login có redirect_uri	Chưa thực thi	Not Executed
LGN_BB_008	Đăng nhập thành công và quay lại URL đích (redirect_uri)	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	Tài khoản local hợp lệ	2	Email/Password đúng	2	Đăng nhập thành công	Quay lại đúng URL đích ban đầu	Chưa thực thi	Not Executed
LGN_BB_009	POST /login thiếu CSRF token	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Có tool gửi request POST thủ công	1	POST /login không có csrfToken	1	Gửi POST /login thiếu csrfToken	Request bị từ chối	Chưa thực thi	Not Executed
LGN_BB_009	POST /login thiếu CSRF token	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	-	2	Email/password bất kỳ	2	Quan sát phản hồi	Trả về lỗi 403 hoặc token không hợp lệ	Chưa thực thi	Not Executed
LGN_BB_010	POST /login với CSRF token sai	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Có session hợp lệ	1	csrfToken giả mạo	1	Gửi POST /login với token sai	Request bị từ chối	Chưa thực thi	Not Executed
LGN_BB_010	POST /login với CSRF token sai	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	-	2	Email/password bất kỳ	2	Quan sát phản hồi	Trả về lỗi 403 hoặc token không hợp lệ	Chưa thực thi	Not Executed
LGN_BB_011	Người dùng đã đăng nhập truy cập lại trang /login	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Người dùng đã đăng nhập thành công	1	URL: /login	1	Truy cập /login khi đã login	Không hiển thị form login	Chưa thực thi	Not Executed
LGN_BB_011	Người dùng đã đăng nhập truy cập lại trang /login	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	-	2	Quan sát điều hướng	2	Quan sát điều hướng	Chuyển về trang chủ	Chưa thực thi	Not Executed
LGN_BB_012	Truy cập chức năng client cần đăng nhập khi chưa login	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Chưa đăng nhập	1	URL: /question?action=create	1	Truy cập URL cần đăng nhập	Bị chuyển sang trang login	Chưa thực thi	Not Executed
LGN_BB_012	Truy cập chức năng client cần đăng nhập khi chưa login	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	-	2	Quan sát URL	2	Quan sát URL	Có redirect_uri	Chưa thực thi	Not Executed
LGN_BB_013	Truy cập chức năng view công khai khi chưa login	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Chưa đăng nhập	1	URL: /question?action=view	1	Truy cập /question?action=view	Không bị chuyển sang login	Chưa thực thi	Not Executed
LGN_BB_013	Truy cập chức năng view công khai khi chưa login	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	-	2	Quan sát trang	2	Quan sát trang	Nội dung view hiển thị bình thường	Chưa thực thi	Not Executed
LGN_BB_014	Truy cập admin khi chưa đăng nhập	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Chưa đăng nhập	1	URL: /admin/users?action=index	1	Truy cập URL admin	Bị chuyển sang trang login	Chưa thực thi	Not Executed
LGN_BB_014	Truy cập admin khi chưa đăng nhập	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	-	2	Quan sát URL	2	Quan sát URL	Có redirect_uri để quay lại sau login	Chưa thực thi	Not Executed
LGN_BB_015	User thường truy cập admin bị từ chối	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Đã đăng nhập bằng tài khoản không phải admin	1	URL: /admin/dashboard	1	Truy cập /admin/dashboard	Không được xem nội dung admin	Chưa thực thi	Not Executed
LGN_BB_015	User thường truy cập admin bị từ chối	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	-	2	Quan sát điều hướng	2	Quan sát điều hướng	Chuyển về trang chủ hoặc trang báo không có quyền	Chưa thực thi	Not Executed
LGN_BB_016	Google callback không có code	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Có thể truy cập URL callback	1	URL: /auth/callback	1	Gọi /auth/callback không có code	Không đăng nhập	Chưa thực thi	Not Executed
LGN_BB_016	Google callback không có code	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	Không truyền tham số code	2	Quan sát điều hướng	2	Quan sát điều hướng	Chuyển về /login	Chưa thực thi	Not Executed
LGN_BB_017	Google login lỗi khi không lấy được thông tin người dùng	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Môi trường test mô phỏng lỗi OAuth	1	code OAuth lỗi/hết hạn	1	Gọi callback với code lỗi	Không đăng nhập thành công	Chưa thực thi	Not Executed
LGN_BB_017	Google login lỗi khi không lấy được thông tin người dùng	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	-	2	Quan sát thông báo	2	Quan sát thông báo	Trở về login và hiển thị lỗi phù hợp	Chưa thực thi	Not Executed
LGN_BB_018	Google login thành công với tài khoản đã liên kết	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Google account đã liên kết hệ thống	1	Google account hợp lệ	1	Bấm đăng nhập Google và xác thực	Google xác thực thành công	Chưa thực thi	Not Executed
LGN_BB_018	Google login thành công với tài khoản đã liên kết	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	Người dùng chưa login	2	Quan sát sau callback	2	Quay về hệ thống	Đăng nhập thành công và vào hệ thống	Chưa thực thi	Not Executed
LGN_BB_019	Google login với email mới chưa có trong hệ thống	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Email Google chưa từng có trong hệ thống	1	Google account mới	1	Đăng nhập bằng Google	Xác thực Google thành công	Chưa thực thi	Not Executed
LGN_BB_019	Google login với email mới chưa có trong hệ thống	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	Người dùng chưa login	2	Quan sát sau callback	2	Quay về hệ thống	Đăng nhập được và có thể sử dụng tài khoản	Chưa thực thi	Not Executed
LGN_BB_020	Kiểm tra bảo mật chống open redirect ở state của Google callback	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	1	Có thể gọi callback với state tùy chỉnh	1	state: https://evil.example/phishing	1	Gọi callback với state trỏ domain ngoài	Không nên redirect ra domain ngoài	Chưa thực thi	Not Executed
LGN_BB_020	Kiểm tra bảo mật chống open redirect ở state của Google callback	Duy	Ân	1.0	Duy	16/4/2026	Not Executed	2	Code OAuth hợp lệ	2	Quan sát điều hướng thực tế	2	Quan sát điều hướng thực tế	Nếu redirect ra ngoài thì ghi nhận lỗ hổng bảo mật	Chưa thực thi	Not Executed
